Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","Buzzer","MagneticBuzzer_CUI_CMT-8504-100-SMT",65.0200,-25.1800,180.0000,top
"C1","100n","C_0805_2012Metric",29.0200,-24.0800,-90.0000,top
"C2","10u","C_0805_2012Metric",29.0200,-20.4800,90.0000,top
"C3","10u","C_0805_2012Metric",24.9200,-15.4300,90.0000,top
"C4","100n","C_0805_2012Metric",22.6200,-15.4300,90.0000,top
"C5","10u","C_0805_2012Metric",21.7700,-35.0800,180.0000,top
"C6","100n","C_0805_2012Metric",50.3500,-50.8500,0.0000,top
"C7","10u","C_0805_2012Metric",20.8200,-26.4300,-90.0000,top
"C8","100n","C_0805_2012Metric",51.4300,-36.8500,90.0000,top
"C9","27p","C_0805_2012Metric",43.1100,-50.7300,0.0000,top
"C10","27p","C_0805_2012Metric",49.8700,-52.8800,180.0000,top
"C11","100n","C_0805_2012Metric",23.0200,-26.4300,-90.0000,top
"C12","1u","C_0805_2012Metric",52.4800,-39.6200,0.0000,top
"C13","100n","C_0805_2012Metric",29.6200,-31.6300,90.0000,top
"C14","100n","C_0805_2012Metric",52.5000,-41.6800,0.0000,top
"C15","100n","C_0805_2012Metric",37.4700,-46.9800,180.0000,top
"C16","100n","C_0805_2012Metric",54.1000,-47.3600,0.0000,top
"C17","100n","C_0805_2012Metric",46.6200,-34.4800,0.0000,top
"C18","100n","C_0805_2012Metric",37.0200,-40.7800,0.0000,top
"C19","100n","C_0805_2012Metric",21.7700,-32.9800,180.0000,top
"C20","1u","C_0805_2012Metric",57.2000,-46.6600,-90.0000,top
"C21","2.2u","C_0805_2012Metric",54.3200,-55.0300,-90.0000,top
"C22","2.2u","C_0805_2012Metric",41.4700,-52.7800,0.0000,top
"C23","10u","C_0805_2012Metric",28.0200,-52.7300,-90.0000,top
"C24","10u","C_0805_2012Metric",26.0700,-57.7800,0.0000,top
"C25","1u","C_0805_2012Metric",13.0200,-29.1800,90.0000,top
"C26","1u","C_0805_2012Metric",13.0200,-46.4300,-90.0000,top
"C27","22nF 50V","C_0805_2012Metric",21.5200,-47.4800,90.0000,top
"C28","100n","C_0805_2012Metric",26.5500,-49.6600,180.0000,top
"C29","1u","C_0805_2012Metric",10.9700,-29.1800,90.0000,top
"C30","1u","C_0805_2012Metric",10.9700,-46.4300,-90.0000,top
"C31","4u","C_0805_2012Metric",21.5200,-43.7100,90.0000,top
"C32","100n","C_0805_2012Metric",25.8200,-52.5300,-90.0000,top
"C33","100n","C_0805_2012Metric",30.9500,-52.4600,0.0000,top
"C34","100n","C_0805_2012Metric",31.9700,-34.8800,180.0000,top
"C35","100n","C_0805_2012Metric",25.5700,-35.6300,90.0000,top
"C36","1u","C_0805_2012Metric",42.5200,-21.4300,-90.0000,top
"D1","Red","LED_1206_2",15.4275,-57.3800,0.0000,top
"D2","MMSZ5232BS_R1_00001","D_SOD-323",50.7700,-14.2800,-90.0000,top
"D3","MMSZ5232BS_R1_00001","D_SOD-323",25.7200,-25.6800,180.0000,top
"D4","Orange","LED_1206_2",21.5000,-57.3800,0.0000,top
"D5","MMSZ5232BS_R1_00001","D_SOD-323",25.7400,-27.6900,180.0000,top
