Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BZ1","Buzzer","MagneticBuzzer_CUI_CMT-8504-100-SMT",65.0200,-25.1800,180.0000,top
"C1","100n","C_0805_2012Metric",29.1200,-25.5300,-90.0000,top
"C2","10u","C_0805_2012Metric",29.0200,-20.3300,90.0000,top
"C3","10u","C_0805_2012Metric",21.7700,-35.0800,180.0000,top
"C4","27p","C_0805_2012Metric",42.9700,-50.6800,0.0000,top
"C5","100n","C_0805_2012Metric",50.3500,-50.8500,0.0000,top
"C6","27p","C_0805_2012Metric",49.8700,-52.8800,180.0000,top
"C7","100n","C_0805_2012Metric",51.3200,-33.4100,90.0000,top
"C8","1u","C_0805_2012Metric",52.4700,-39.6600,0.0000,top
"C9","10u","C_0805_2012Metric",24.9200,-15.4300,90.0000,top
"C10","100n","C_0805_2012Metric",22.6200,-15.4300,90.0000,top
"C11","100n","C_0805_2012Metric",29.6200,-31.6300,90.0000,top
"C12","100n","C_0805_2012Metric",52.5000,-41.6800,0.0000,top
"C13","100n","C_0805_2012Metric",37.4700,-46.9800,180.0000,top
"C14","100n","C_0805_2012Metric",54.1000,-47.3600,0.0000,top
"C15","10u","C_0805_2012Metric",20.8200,-26.4300,-90.0000,top
"C16","100n","C_0805_2012Metric",46.6200,-34.4800,0.0000,top
"C17","100n","C_0805_2012Metric",36.9200,-41.0300,-90.0000,top
"C18","100n","C_0805_2012Metric",23.0200,-26.4300,-90.0000,top
"C19","100n","C_0805_2012Metric",21.7700,-32.9800,180.0000,top
"C20","1u","C_0805_2012Metric",57.2000,-46.6600,-90.0000,top
"C21","22nF 50V","C_0805_2012Metric",21.5200,-47.4800,90.0000,top
"C22","100n","C_0805_2012Metric",26.5500,-49.6600,180.0000,top
"C23","4u","C_0805_2012Metric",21.5200,-43.7100,90.0000,top
"C24","100n","C_0805_2012Metric",25.8200,-52.5300,-90.0000,top
"C25","100n","C_0805_2012Metric",30.9500,-52.4600,0.0000,top
"C26","100n","C_0805_2012Metric",31.9700,-34.8800,180.0000,top
"C27","10u","C_0805_2012Metric",28.1200,-53.0300,90.0000,top
"C28","10u","C_0805_2012Metric",26.3700,-57.7800,0.0000,top
"C29","2.2u","C_0805_2012Metric",54.3200,-55.0300,-90.0000,top
"C30","2.2u","C_0805_2012Metric",40.6200,-52.7800,0.0000,top
"C31","100n","C_0805_2012Metric",25.4200,-35.6300,90.0000,top
"D1","BZX584C5V6-DC","D_SOD-523",50.7200,-20.9250,0.0000,top
"D2","BZX584C5V6-DC","D_SOD-523",25.8200,-25.4800,180.0000,top
"D3","Red","LED_1206_2",15.4275,-57.3800,0.0000,top
